densities_total,densities_s1,densities_s2
0.06628571428571428,0.0,0.06628571428571428
0.05885714285714286,0.0,0.05885714285714286
0.01685714285714286,0.0,0.01685714285714286
0.01942857142857143,0.0,0.01942857142857143
0.0028571428571428593,0.0,0.0028571428571428593
0.008285714285714294,0.0,0.008285714285714294
0.07142857142857142,0.0,0.07142857142857142
0.03314285714285721,0.0,0.03314285714285721
0.017714285714285717,0.0,0.017714285714285717
0.034857142857142843,0.0,0.034857142857142843
0.06800000000000007,0.0,0.06800000000000007
0.014571428571428572,0.0,0.014571428571428572
0.08142857142857146,0.0,0.08142857142857146
0.08657142857142867,0.0,0.08657142857142867
0.03914285714285716,0.0,0.03914285714285716
0.09085714285714272,0.0,0.09085714285714272
0.024571428571428616,0.0,0.024571428571428616
0.01914285714285713,0.008285714285714292,0.01085714285714284
0.1200000000000001,0.07571428571428576,0.04428571428571434
0.1854285714285711,0.06000000000000008,0.12542857142857103
0.23171428571428526,0.11200000000000006,0.11971428571428522
0.4145714285714295,0.22914285714285734,0.18542857142857214
0.37485714285714405,0.15885714285714306,0.216000000000001
1.7477142857142876,1.0634285714285687,0.6842857142857188
38.38257142857143,21.90685714285713,16.4757142857143
120.03742857142862,63.846857142857225,56.190571428571396
134.89828571428558,65.27714285714278,69.6211428571428
134.50542857142864,66.49171428571445,68.01371428571419
134.2102857142858,68.77428571428592,65.43599999999986
134.8060000000003,67.46914285714273,67.33685714285757
135.27971428571425,67.13285714285715,68.14685714285709
122.2048571428572,65.14600000000003,57.05885714285716
40.62257142857143,21.689142857142897,18.933428571428536
1.3774285714285741,0.6854285714285733,0.6920000000000007
0.3645714285714285,0.15314285714285705,0.21142857142857144
0.39400000000000024,0.22628571428571403,0.1677142857142862
0.3071428571428572,0.04628571428571444,0.2608571428571428
0.19942857142857157,0.013999999999999999,0.18542857142857155
0.09514285714285715,0.0,0.09514285714285715
0.1751428571428566,0.0,0.1751428571428566
0.27228571428571396,0.0,0.27228571428571396
0.12657142857142872,0.0,0.12657142857142872
0.04771428571428566,0.0,0.04771428571428566
0.12971428571428587,0.0,0.12971428571428587
0.08371428571428582,0.0,0.08371428571428582
0.03142857142857146,0.0,0.03142857142857146
0.0077142857142857065,0.0,0.0077142857142857065
0.03999999999999999,0.0,0.03999999999999999
0.03800000000000011,0.0,0.03800000000000011
0.0002857142857142857,0.0,0.0002857142857142857
0.03085714285714286,0.0,0.03085714285714286
0.02200000000000001,0.0,0.02200000000000001
0.020285714285714296,0.0,0.020285714285714296
0.055428571428571424,0.0,0.055428571428571424
0.06485714285714286,0.0,0.06485714285714286
0.04228571428571428,0.0,0.04228571428571428
0.07000000000000002,0.0,0.07000000000000002
0.011428571428571436,0.0,0.011428571428571436
0.008000000000000007,0.0,0.008000000000000007
0.007714285714285719,0.0,0.007714285714285719
0.1062857142857143,0.0,0.1062857142857143
0.10885714285714289,0.0,0.10885714285714289
0.21914285714285722,0.0,0.21914285714285722
0.09914285714285719,0.0,0.09914285714285719
0.0988571428571429,0.0,0.0988571428571429
0.08114285714285718,0.0,0.08114285714285718
0.11057142857142853,0.0,0.11057142857142853
0.045714285714285714,0.0,0.045714285714285714
0.010285714285714275,0.0,0.010285714285714275
0.025142857142857165,0.0,0.025142857142857165
0.1331428571428568,0.02714285714285718,0.10599999999999964
0.2551428571428567,0.05028571428571426,0.2048571428571425
0.2002857142857144,0.043714285714285726,0.15657142857142867
0.24914285714285764,0.053714285714285666,0.19542857142857198
0.47228571428571325,0.18285714285714255,0.2894285714285707
1.5525714285714298,0.7160000000000022,0.8365714285714276
37.66057142857143,20.58200000000003,17.0785714285714
120.87914285714311,61.12285714285711,59.756285714286
135.30428571428592,64.04485714285711,71.2594285714288
134.81171428571452,65.10285714285723,69.70885714285727
134.62714285714287,68.8822857142858,65.74485714285707
135.02457142857105,66.58199999999992,68.44257142857113
134.97657142857165,65.01828571428557,69.95828571428608
121.18314285714263,62.207714285714125,58.9754285714285
37.61000000000001,20.447714285714284,17.162285714285723
1.380285714285711,0.7208571428571418,0.6594285714285693
0.43542857142857233,0.24857142857142822,0.1868571428571441
0.7511428571428592,0.41142857142857187,0.33971428571428736
0.30142857142857093,0.059142857142857115,0.24228571428571383
0.10028571428571421,0.012000000000000025,0.08828571428571419
0.08257142857142866,0.0,0.08257142857142866
0.05800000000000005,0.0,0.05800000000000005
0.04799999999999994,0.0,0.04799999999999994
0.10828571428571422,0.0,0.10828571428571422
0.08828571428571422,0.0,0.08828571428571422
0.031714285714285646,0.0,0.031714285714285646
0.052571428571428644,0.0,0.052571428571428644
0.07000000000000015,0.0,0.07000000000000015
0.04285714285714284,0.0,0.04285714285714284
0.041714285714285836,0.0,0.041714285714285836
0.01228571428571431,0.0,0.01228571428571431
0.0005714285714285714,0.0,0.0005714285714285714
0.007999999999999993,0.0,0.007999999999999993
0.008857142857142855,0.0,0.008857142857142855
0.03514285714285713,0.0,0.03514285714285713
0.008000000000000002,0.0,0.008000000000000002
0.012571428571428565,0.0,0.012571428571428565
0.024857142857142852,0.0,0.024857142857142852
0.029428571428571436,0.0,0.029428571428571436
0.02457142857142857,0.0,0.02457142857142857
0.00142857142857143,0.0,0.00142857142857143
0.04000000000000005,0.0,0.04000000000000005
0.05171428571428575,0.0,0.05171428571428575
0.2182857142857142,0.0,0.2182857142857142
0.14857142857142855,0.0,0.14857142857142855
0.23742857142857132,0.0,0.23742857142857132
0.24142857142857146,0.0,0.24142857142857146
0.16199999999999995,0.0,0.16199999999999995
0.14000000000000004,0.0,0.14000000000000004
