concentration_zx_flat,kde_x,kde_y,c_dilute,c_dense
0.0,-6.973181044844309,0.026581832643911837,0.4793027465311219,142.46064343170428
0.0,-6.934766179940312,0.02666458227991006,0.4793027465311219,142.46064343170428
0.0,-6.8963513150363145,0.026747156112221792,0.4793027465311219,142.46064343170428
0.0,-6.857936450132318,0.02682955094214756,0.4793027465311219,142.46064343170428
0.0,-6.819521585228321,0.026911763570208795,0.4793027465311219,142.46064343170428
0.0,-6.781106720324324,0.026993790796354087,0.4793027465311219,142.46064343170428
0.0,-6.742691855420326,0.02707562942016736,0.4793027465311219,142.46064343170428
0.0,-6.7042769905163295,0.02715727624107527,0.4793027465311219,142.46064343170428
1.8333333333333333,-6.665862125612333,0.02723872805855649,0.4793027465311219,142.46064343170428
5.166666666666667,-6.627447260708335,0.027319981672351317,0.4793027465311219,142.46064343170428
0.3333333333333333,-6.589032395804338,0.027401033882670806,0.4793027465311219,142.46064343170428
0.0,-6.550617530900341,0.027481881490407794,0.4793027465311219,142.46064343170428
0.0,-6.512202665996345,0.027562521297348083,0.4793027465311219,142.46064343170428
0.0,-6.473787801092347,0.027642950106381636,0.4793027465311219,142.46064343170428
0.0,-6.43537293618835,0.02772316472171505,0.4793027465311219,142.46064343170428
0.0,-6.396958071284353,0.0278031619490839,0.4793027465311219,142.46064343170428
0.0,-6.3585432063803555,0.027882938595965537,0.4793027465311219,142.46064343170428
0.0,-6.320128341476359,0.02796249147179311,0.4793027465311219,142.46064343170428
0.0,-6.281713476572362,0.0280418173881695,0.4793027465311219,142.46064343170428
0.0,-6.243298611668365,0.02812091315908082,0.4793027465311219,142.46064343170428
4.833333333333333,-6.204883746764367,0.028199775601112028,0.4793027465311219,142.46064343170428
0.0,-6.166468881860371,0.02827840153366159,0.4793027465311219,142.46064343170428
0.0,-6.128054016956374,0.028356787779157094,0.4793027465311219,142.46064343170428
0.0,-6.089639152052376,0.028434931163270626,0.4793027465311219,142.46064343170428
0.0,-6.051224287148379,0.028512828515135473,0.4793027465311219,142.46064343170428
0.0,-6.012809422244382,0.028590476667561492,0.4793027465311219,142.46064343170428
2.5,-5.974394557340386,0.028667872457252996,0.4793027465311219,142.46064343170428
0.0,-5.935979692436389,0.02874501272502447,0.4793027465311219,142.46064343170428
0.0,-5.897564827532391,0.02882189431601825,0.4793027465311219,142.46064343170428
0.0,-5.859149962628394,0.028898514079921653,0.4793027465311219,142.46064343170428
0.0,-5.820735097724397,0.02897486887118451,0.4793027465311219,142.46064343170428
0.0,-5.7823202328204,0.029050955549236406,0.4793027465311219,142.46064343170428
0.0,-5.743905367916403,0.029126770978705273,0.4793027465311219,142.46064343170428
0.0,-5.705490503012406,0.029202312029634376,0.4793027465311219,142.46064343170428
0.0,-5.667075638108409,0.029277575577700683,0.4793027465311219,142.46064343170428
0.0,-5.628660773204412,0.02935255850443326,0.4793027465311219,142.46064343170428
0.0,-5.590245908300415,0.02942725769743044,0.4793027465311219,142.46064343170428
0.0,-5.551831043396417,0.02950167005057914,0.4793027465311219,142.46064343170428
0.0,-5.51341617849242,0.0295757924642722,0.4793027465311219,142.46064343170428
0.0,-5.4750013135884235,0.02964962184562684,0.4793027465311219,142.46064343170428
0.0,-5.436586448684427,0.029723155108702624,0.4793027465311219,142.46064343170428
0.0,-5.39817158378043,0.029796389174719353,0.4793027465311219,142.46064343170428
0.0,-5.359756718876432,0.02986932097227596,0.4793027465311219,142.46064343170428
0.0,-5.321341853972435,0.029941947437567215,0.4793027465311219,142.46064343170428
0.0,-5.282926989068438,0.030014265514602356,0.4793027465311219,142.46064343170428
0.0,-5.244512124164441,0.030086272155422034,0.4793027465311219,142.46064343170428
0.0,-5.206097259260444,0.030157964320316324,0.4793027465311219,142.46064343170428
0.0,-5.167682394356447,0.030229338978042346,0.4793027465311219,142.46064343170428
0.0,-5.12926752945245,0.030300393106040036,0.4793027465311219,142.46064343170428
0.0,-5.090852664548453,0.030371123690650505,0.4793027465311219,142.46064343170428
0.0,-5.052437799644456,0.03044152772733152,0.4793027465311219,142.46064343170428
0.0,-5.014022934740459,0.030511602220874595,0.4793027465311219,142.46064343170428
0.0,-4.975608069836461,0.03058134418562055,0.4793027465311219,142.46064343170428
0.0,-4.9371932049324645,0.03065075064567577,0.4793027465311219,142.46064343170428
0.0,-4.898778340028468,0.030719818635126833,0.4793027465311219,142.46064343170428
0.0,-4.860363475124471,0.030788545198256478,0.4793027465311219,142.46064343170428
1.3333333333333333,-4.821948610220473,0.03085692738975743,0.4793027465311219,142.46064343170428
3.6666666666666665,-4.783533745316476,0.03092496227494694,0.4793027465311219,142.46064343170428
0.0,-4.745118880412479,0.0309926469299812,0.4793027465311219,142.46064343170428
0.0,-4.706704015508482,0.03105997844206764,0.4793027465311219,142.46064343170428
0.0,-4.668289150604485,0.031126953909678925,0.4793027465311219,142.46064343170428
0.0,-4.629874285700488,0.03119357044276453,0.4793027465311219,142.46064343170428
1.6666666666666667,-4.591459420796491,0.03125982516296282,0.4793027465311219,142.46064343170428
0.6666666666666666,-4.553044555892495,0.03132571520381343,0.4793027465311219,142.46064343170428
2.3333333333333335,-4.514629690988497,0.031391237710966344,0.4793027465311219,142.46064343170428
0.0,-4.476214826084499,0.03145638984239357,0.4793027465311219,142.46064343170428
0.0,-4.437799961180502,0.03152116876859836,0.4793027465311219,142.46064343170428
0.0,-4.3993850962765055,0.03158557167282376,0.4793027465311219,142.46064343170428
0.0,-4.360970231372509,0.03164959575126201,0.4793027465311219,142.46064343170428
