phi1,phi2,demixing
0.1262857142857142,0.0,0.00653
0.19628571428571417,0.0,0.00653
0.12514285714285728,0.0,0.00653
0.08657142857142837,0.0,0.00653
0.2562857142857145,0.0,0.00653
0.23800000000000032,0.0,0.00653
0.2648571428571432,0.0,0.00653
0.29428571428571443,0.0,0.00653
0.24999999999999975,0.0,0.00653
0.5225714285714285,0.0,0.00653
0.7271428571428561,0.0,0.00653
0.6397142857142842,0.0,0.00653
0.4102857142857138,0.0,0.00653
0.2705714285714286,0.0,0.00653
0.42342857142857254,0.0,0.00653
0.7617142857142856,0.0,0.00653
0.7980000000000002,0.0,0.00653
0.7114285714285719,0.0,0.00653
0.6691428571428589,0.0,0.00653
0.6945714285714293,0.0,0.00653
0.887714285714287,0.03657142857142613,0.00653
1.2577142857142867,0.5597142857142846,0.00653
4.04771428571429,6.259428571428556,0.00653
15.076857142857135,34.2465714285713,0.00653
24.70628571428572,62.351142857142776,0.00653
27.228000000000012,67.53314285714269,0.00653
26.78428571428572,69.761142857143,0.00653
25.285714285714267,73.27400000000009,0.00653
25.672285714285707,72.38685714285711,0.00653
24.803428571428565,72.17514285714296,0.00653
24.60800000000005,71.51428571428578,0.00653
23.69314285714287,71.41142857142846,0.00653
20.58314285714289,68.9002857142857,0.00653
11.997428571428566,34.128857142857115,0.00653
2.4471428571428535,4.1971428571428655,0.00653
1.1922857142857155,0.4082857142857128,0.00653
0.8414285714285721,0.4197142857142829,0.00653
0.9071428571428586,0.1894285714285715,0.00653
0.9645714285714287,0.008285714285715158,0.00653
0.6168571428571427,0.0,0.00653
0.42371428571428654,0.0,0.00653
0.34999999999999987,0.0,0.00653
0.4325714285714289,0.0,0.00653
0.3219999999999995,0.0,0.00653
0.2228571428571431,0.0,0.00653
0.17285714285714285,0.0,0.00653
0.22000000000000014,0.0,0.00653
0.23228571428571398,0.0,0.00653
0.26314285714285696,0.0,0.00653
0.17400000000000007,0.0,0.00653
0.21742857142857167,0.0,0.00653
0.14057142857142868,0.0,0.00653
0.22628571428571462,0.0,0.00653
0.2288571428571426,0.0,0.00653
0.3160000000000007,0.0,0.00653
0.17400000000000013,0.0,0.00653
0.22285714285714278,0.0,0.00653
0.16057142857142864,0.0,0.00653
0.1231428571428574,0.0,0.00653
0.1774285714285715,0.0,0.00653
0.07485714285714283,0.0,0.00653
0.11428571428571441,0.0,0.00653
0.2179999999999998,0.0,0.00653
0.3368571428571426,0.0,0.00653
0.31514285714285717,0.0,0.00653
0.18771428571428606,0.0,0.00653
0.34085714285714247,0.0,0.00653
