SMARCA1,4.359297679
HNRNPA0,4.355291921
INO80C,4.352834957
POLR2A,4.349298994
CSNK1A1,4.348286334
ZFC3H1,4.345794591
COPB2,4.340137614
IFT27,4.337790029
POP4,4.334649994
RPL24,4.332297797
DAGLB,4.316747657
DHX16,4.304508724
HDAC2,4.279670132
BRCC3,4.274028893
EXOSC9,4.265508363
RPS18,4.264565771
INTS8,4.259476332
RBM25,4.250869798
GEMIN2,4.23863275
GALNT2,4.226535386
PLRG1,4.217343443
ETV6,4.216527702
ZNF318,4.208781945
,4.203491576
RPS4X,4.195330371
CHTF18,4.195115766
C1orf35,4.189608673
DDX41,4.187096583
CDC27,4.176698016
TMEM97,4.165669383
KDELR1,4.165248276
RSBN1L,4.162692566
SCFD2,4.157482227
WDR75,4.147815575
SF3A1,4.144627918
TSR1,4.115399382
HDAC1,4.114898794
URB2,4.112262389
PTRF; CAVIN1,4.10703637
SF3B1,4.104818593
WDR92,4.101959924
ISY1; ISY1-RAB43,4.094866621
KCTD20,4.078257131
MTA3,4.075047148
E2F6,4.072310018
KMT2B; MLL4,4.070314739
TUBGCP6,4.069192949
NGDN,4.060597314
BABAM1,4.054608098
DIEXF,4.05457737
COL4A2,4.049339007
GCSAM,4.022681143
ELOVL5,4.006708901
MIA3,4.004340111
DDX21,3.999387226
RCN2,3.997354619
RPS2,3.996019339
RPL34,3.99440228
ZBTB1,3.987995479
TMF1,3.978837273
PARD3,3.973170254
FKBP15,3.970748677
SMEK1; PPP4R3A,3.965612007
RAB11FIP5,3.955529742
RPS11,3.955260874
MLLT4; AFDN,3.946150428
GEMIN6,3.938875168
SLC4A1AP,3.924004468
GTF3C6,3.92086896
SHROOM2,3.920343031
EPAS1,3.906424876
,3.90494164
HM13,3.89991142
GOLGA5,3.897743618
RPL27,3.882874211
BCL11B,3.882174004
PMS2; LOC107984056,3.876735626
ZC3H18,3.872368463
RSL1D1,3.863203264
POLE,3.862068961
TRIP4,3.857158401
HNRNPA1,3.854679243
SHCBP1,3.851692677
SRRT,3.847337288
ADAM28,3.841815357
NOP14,3.83926361
MRPS22,3.828704098
ERCC3,3.823548915
DDX56,3.817044055
CAD,3.816081352
DGCR14; ESS2,3.813054579
PELP1,3.811829982
SLC12A9,3.811671777
FAM120A,3.811104597
AP3M1,3.796750541
SMARCA5,3.779160747
ZCCHC9,3.777913956
PPP6C,3.774316505
ZBTB10,3.773694421
PBXIP1,3.77092946
RCL1,3.750679159
TMED4,3.750021284
RPL26,3.74933578
RAB5B,3.745423505
MYO18A,3.737384371
POLR1B,3.736636696
EFTUD2,3.717992023
,3.710107541
GTF3C4,3.696988142
MOGS,3.689684518
COPG1,3.669498991
ABCF2,3.667972504
NUP85,3.666420015
SRP19,3.664360434
ZBED5,3.662624666
SF3B2,3.660025401
PRPF19,3.658528154
UTP20,3.646485567
ANAPC2,3.635838782
SMARCAD1,3.634898705
MCRS1,3.629688787
TMEM55B; PIP4P1,3.623964048
NFIB,3.621737744
RAB6A,3.613606711
SUGP1,3.604164913
SGPL1,3.603431924
FRYL,3.60096935
HBS1L,3.599644806
,3.593974084
CSNK1D,3.589295023
DNAJA1,3.588298223
DAD1,3.586992099
,3.579063806
COPA,3.564840844
SCAMP2,3.555346108
RRP12,3.545723648
TMEM167A,3.53657497
ADAR,3.533085971
RPL28,3.526877376
LRCH1,3.524693785
DLG5,3.52275146
GOLGA3,3.522432234
SEC61A1,3.521113118
RPL18,3.519643662
USP39,3.516762576
EMC1,3.514759095
CHD9,3.510392153
ZMYM3,3.506911285
MRPL2,3.497852323
SNRNP70,3.493504623
SRRM1,3.491688563
RNF213,3.477856477
KIF23,3.474768445
EZH2,3.46831722
RBMXL1,3.460042525
COL11A1,3.454561831
DDX46,3.453488963
RPS5,3.445292978
STRN4,3.438833397
SRPK2,3.435199122
U2SURP,3.431268649
INO80,3.417100347
RBBP4,3.415222576
SLX4,3.412847743
CHD8,3.404080153
SEL1L,3.40268092
ANAPC10,3.39757677
RECQL5,3.379448431
RPL39; RPL39P3,3.372762439
COL5A2,3.366224897
MORC2,3.363015189
RPS6,3.36204181
ARHGEF7,3.360224497
KDM5A,3.356779619
COL12A1,3.352966427
FTSJ3,3.351317983
RAB5A,3.351276954
SAFB,3.351056591
CDC23,3.349472933
MLLT1,3.347984387
HNRNPA2B1,3.340134316
MKI67IP; NIFK,3.336003967
PBRM1,3.332115851
STX6,3.324904745
VCP,3.323129728
PI4K2A,3.313172166
SNIP1,3.310630185
RPL37,3.306655759
