composition_bin,mean,std,count,sem
5-15,0.01249769696969697,0.021686235527855802,198,0.0015411736498651156
15-35,0.08706134375,0.11991726977877298,288,0.007066192886828918
50,0.23892973846153845,0.2738290588937952,390,0.013865873389660914
65-85,0.08697674698795181,0.12992132905920337,332,0.007130359270530255
85-95,0.012293381215469613,0.021924872911654982,362,0.001152345736601476
