composition_bin,demixing_composition
65-85,0.338554
50,0.49463
15-35,0.186406
5-15,0.01191
85-95,0.002398
65-85,0.00956
50,0.01041
15-35,0.001034
5-15,0.000352
85-95,0.003499
65-85,0.009451
50,0.022048
15-35,0.003346
5-15,0.000703
85-95,0.011186
65-85,0.041478
50,0.102482
15-35,0.017338
5-15,0.001461
85-95,0.001592
65-85,0.004975
50,0.010802
15-35,0.00224
5-15,0.001862
85-95,0.016833
65-85,0.132972
50,0.088134
15-35,0.01351
5-15,0.000596
85-95,0.000405
50,0.00156
15-35,0.001194
5-15,0.000235
85-95,0.00532
65-85,0.038799
50,0.031142
15-35,0.015758
5-15,0.001824
65-85,0.031419
50,0.138375
15-35,0.056687
5-15,0.009469
85-95,0.000601
65-85,0.007097
50,0.016637
15-35,0.005166
5-15,0.001344
85-95,0.000398
50,0.004766
15-35,0.002271
85-95,0.000804
65-85,0.005255
50,0.023754
85-95,0.0032
65-85,0.008067
50,0.014605
15-35,0.004786
5-15,0.000258
85-95,0.001474
65-85,0.006648
50,0.012687
15-35,0.003329
5-15,0.000611
85-95,0.00287
65-85,0.018675
50,0.039637
15-35,0.015888
5-15,0.001501
85-95,0.00066
65-85,0.005145
50,0.023886
15-35,0.02359
85-95,0.001835
65-85,0.059769
85-95,0.001482
65-85,0.014462
85-95,0.028574
85-95,0.008693
65-85,0.04221
50,0.058463
15-35,0.012162
5-15,0.002464
85-95,0.005579
65-85,0.022284
50,0.059599
15-35,0.015372
5-15,0.001415
85-95,0.012804
65-85,0.05918
50,0.076622
15-35,0.026645
5-15,0.001252
85-95,0.006989
65-85,0.020491
50,0.036761
15-35,0.00514
5-15,0.002283
85-95,0.000896
65-85,0.015296
50,0.049263
15-35,0.008762
5-15,0.000135
85-95,0.013771
65-85,0.125464
50,0.25948
15-35,0.069404
5-15,0.00903
85-95,0.007181
65-85,0.048961
50,0.038026
15-35,0.010514
5-15,0.000567
85-95,0.00847
65-85,0.02817
50,0.029993
15-35,0.009108
5-15,0.000773
85-95,0.006212
65-85,0.055633
50,0.074938
15-35,0.017158
5-15,0.004046
85-95,0.00325
65-85,0.0189
50,0.023681
15-35,0.007944
5-15,0.000871
85-95,0.003106
65-85,0.129841
50,0.145581
15-35,0.03316
5-15,0.000402
85-95,0.000612
65-85,0.006788
50,0.018944
15-35,0.004185
5-15,0.00063
85-95,0.006338
65-85,0.0123
50,0.041162
15-35,0.024036
5-15,0.004412
85-95,0.011536
65-85,0.118644
50,0.337649
15-35,0.104032
85-95,0.004317
65-85,0.017523
50,0.053019
15-35,0.018925
5-15,0.004498
85-95,0.000324
65-85,0.003333
50,0.008806
15-35,0.003862
5-15,0.000505
85-95,0.000507
85-95,0.002942
65-85,0.023401
50,0.045004
15-35,0.007205
5-15,0.000475
85-95,0.002457
65-85,0.023544
50,0.038676
15-35,0.010238
85-95,0.001774
85-95,0.002664
65-85,0.008219
50,0.010682
15-35,0.007633
85-95,0.000272
85-95,0.003443
65-85,0.020846
50,0.050647
15-35,0.008893
5-15,0.001839
85-95,0.012597
65-85,0.14674
50,0.435163
15-35,0.152558
5-15,0.033879
85-95,0.000389
65-85,0.009888
50,0.035129
15-35,0.019592
5-15,0.005345
85-95,0.00298
65-85,0.071829
50,0.143323
15-35,0.113861
5-15,0.011083
85-95,0.085145
65-85,0.495608
50,0.932232
15-35,0.418835
5-15,0.092171
85-95,0.000529
65-85,0.042377
50,0.537616
15-35,0.339101
5-15,0.038272
85-95,0.00321
65-85,0.011078
50,0.185741
15-35,0.064958
5-15,0.020583
65-85,0.008051
65-85,0.03532
50,0.114369
15-35,0.094297
85-95,0.006399
65-85,0.031496
50,0.048955
15-35,0.027919
5-15,0.003668
85-95,0.000717
65-85,0.04575
50,0.051741
15-35,0.027107
5-15,0.002081
85-95,0.002344
85-95,0.003068
65-85,0.024094
50,0.10821
5-15,0.019802
85-95,0.015525
85-95,0.034372
85-95,0.001506
65-85,0.013005
50,0.031999
15-35,0.010258
5-15,0.003761
85-95,0.000639
65-85,0.008943
50,0.030646
15-35,0.031735
5-15,0.001034
85-95,0.00346
65-85,0.078697
50,0.138947
15-35,0.136135
5-15,0.004079
85-95,0.003798
65-85,0.039701
50,0.252119
15-35,0.188102
5-15,0.055984
85-95,0.00102
65-85,0.00614
50,0.038516
15-35,0.019661
5-15,0.005749
65-85,0.004302
15-35,0.010954
5-15,0.004445
85-95,0.001317
65-85,0.017783
50,0.060847
85-95,0.004218
65-85,0.093255
50,0.122264
15-35,0.115514
5-15,0.00472
85-95,0.002494
65-85,0.025119
50,0.021658
15-35,0.009271
5-15,0.004233
65-85,0.010392
50,0.078382
15-35,0.204648
85-95,0.000697
65-85,0.058717
85-95,0.026952
65-85,0.145733
50,0.342319
15-35,0.065443
5-15,0.034553
85-95,0.016984
85-95,0.032906
85-95,0.000531
65-85,0.016017
50,0.055158
15-35,0.066116
5-15,0.003362
85-95,0.001587
65-85,0.119444
50,0.423052
15-35,0.241745
5-15,0.005682
85-95,0.001157
65-85,0.04643
50,0.565055
15-35,0.316491
5-15,0.082295
85-95,0.001554
65-85,0.031733
50,0.25135
15-35,0.201701
85-95,0.005738
50,0.158209
85-95,0.000955
85-95,0.014589
65-85,0.140969
50,0.300527
15-35,0.164969
5-15,0.026254
85-95,0.004681
85-95,0.076602
85-95,0.003853
65-85,0.215866
50,0.415724
15-35,0.228256
5-15,0.003866
85-95,0.000803
65-85,0.011148
50,0.015479
15-35,0.014601
5-15,0.004106
85-95,0.011242
65-85,0.020915
50,0.105526
15-35,0.048584
5-15,0.025254
85-95,0.085775
65-85,0.658685
50,0.833357
15-35,0.457365
5-15,0.075186
85-95,0.000224
65-85,0.008851
50,0.44773
15-35,0.170442
5-15,0.006135
85-95,0.002197
65-85,0.012752
50,0.059088
15-35,0.08934
5-15,0.010218
85-95,0.000246
65-85,0.007348
50,0.032619
15-35,0.044157
85-95,0.008678
65-85,0.046702
50,0.124748
15-35,0.048275
5-15,0.009636
85-95,0.002372
65-85,0.004144
50,0.011213
15-35,0.015093
85-95,0.013576
85-95,0.009056
65-85,0.059695
50,0.143092
15-35,0.083023
5-15,0.010344
85-95,0.01348
85-95,0.035895
85-95,0.009247
65-85,0.025119
50,0.049786
15-35,0.037296
15-35,0.014232
85-95,0.006104
65-85,0.411254
50,0.774527
15-35,0.453758
5-15,0.066806
85-95,0.000346
65-85,0.018806
50,0.213342
15-35,0.065486
5-15,0.008028
85-95,0.001245
65-85,0.013651
50,0.05047
85-95,0.029168
85-95,0.000963
65-85,0.085097
50,0.384163
15-35,0.237825
5-15,0.017507
85-95,0.005686
65-85,0.170314
50,0.494505
15-35,0.235528
5-15,0.015582
85-95,0.005809
65-85,0.659295
50,0.953629
15-35,0.202795
85-95,0.076123
50,0.994729
15-35,0.37394
5-15,0.111224
85-95,0.009184
65-85,0.063893
50,0.644238
15-35,0.291751
5-15,0.098803
85-95,0.013509
65-85,0.110421
50,0.227589
85-95,0.000608
65-85,0.248634
50,0.709433
15-35,0.236128
5-15,0.001727
85-95,0.001571
85-95,0.032463
65-85,0.253641
50,0.301059
15-35,0.278686
5-15,0.055929
85-95,0.015867
85-95,0.023958
85-95,0.000772
65-85,0.002814
50,0.010058
15-35,0.006132
15-35,0.004102
85-95,0.001277
65-85,0.140163
50,0.402944
15-35,0.149451
5-15,0.001329
65-85,0.007019
65-85,0.046
50,0.109079
15-35,0.096489
85-95,0.000478
65-85,0.001889
50,0.006977
15-35,0.009179
5-15,0.001363
85-95,0.00053
65-85,0.010667
50,0.027058
15-35,0.029008
5-15,0.006464
85-95,0.001153
65-85,0.003974
50,0.05247
15-35,0.061744
85-95,0.002465
65-85,0.012829
50,0.037823
15-35,0.066622
5-15,0.046878
65-85,0.076149
65-85,0.272611
85-95,0.009934
65-85,0.200104
50,0.351699
15-35,0.153322
5-15,0.013419
85-95,0.072947
65-85,0.274625
85-95,0.063791
65-85,0.200135
85-95,0.000293
65-85,0.005457
50,0.013927
15-35,0.010984
5-15,0.001874
85-95,0.002134
65-85,0.014622
50,0.156662
15-35,0.13893
5-15,0.055041
85-95,0.000722
65-85,0.015903
50,0.025455
15-35,0.046253
5-15,0.011886
85-95,0.001307
65-85,0.011728
50,0.025667
15-35,0.035162
5-15,0.033887
85-95,0.005043
65-85,0.016284
50,0.045277
15-35,0.040349
5-15,0.005201
85-95,0.030544
85-95,0.004024
65-85,0.031952
50,0.061446
15-35,0.061557
5-15,0.021472
85-95,0.004606
85-95,0.078023
85-95,0.000802
65-85,0.005917
50,0.033822
15-35,0.028726
5-15,0.008355
85-95,0.010431
65-85,0.08743
50,0.237046
15-35,0.097709
5-15,0.018438
85-95,0.081168
65-85,0.562669
50,0.899039
15-35,0.338815
85-95,0.000209
65-85,0.202655
50,0.676941
15-35,0.373582
5-15,0.009626
85-95,0.004803
65-85,0.063199
50,0.152357
15-35,0.180532
5-15,0.044247
85-95,0.004229
85-95,0.011945
65-85,0.113436
50,0.23332
15-35,0.124071
15-35,0.065308
85-95,0.028197
85-95,0.021984
65-85,0.001986
65-85,0.003956
50,0.009411
15-35,0.005625
15-35,0.002819
65-85,0.015732
65-85,0.057754
50,0.081079
15-35,0.04293
15-35,0.015382
85-95,0.009036
65-85,0.371023
50,0.655733
15-35,0.264012
5-15,0.050559
85-95,0.001654
65-85,0.019014
50,0.12233
15-35,0.084187
5-15,0.024091
85-95,0.000874
65-85,0.008509
50,0.014866
15-35,0.016955
5-15,0.005857
85-95,0.001898
65-85,0.003164
50,0.019778
15-35,0.029823
85-95,0.003212
65-85,0.059377
50,0.156004
15-35,0.039274
5-15,0.005483
85-95,0.006458
65-85,0.011507
50,0.031395
15-35,0.019358
5-15,0.002209
85-95,0.001911
65-85,0.003056
50,0.004461
15-35,0.005802
15-35,0.017969
85-95,0.012772
65-85,0.035012
50,0.172599
15-35,0.047795
5-15,0.017448
65-85,0.041655
85-95,0.031003
85-95,0.235751
65-85,0.602568
50,0.973889
15-35,0.301048
5-15,0.116853
85-95,0.000939
65-85,0.194483
50,0.841391
15-35,0.437599
5-15,0.029493
85-95,0.000853
65-85,0.07563
50,0.316035
15-35,0.233567
5-15,0.005707
85-95,0.003994
65-85,0.049999
50,0.210748
65-85,0.206148
50,0.532518
15-35,0.18897
85-95,0.003697
65-85,0.03834
50,0.182857
15-35,0.176886
85-95,0.001464
65-85,0.021743
85-95,0.010014
65-85,0.144026
50,0.210915
15-35,0.130482
85-95,0.041658
85-95,0.00716
65-85,0.021222
50,0.035429
15-35,0.019357
5-15,0.00207
85-95,0.002503
65-85,0.04682
50,0.203311
15-35,0.107057
5-15,0.011507
85-95,0.000865
50,0.017842
15-35,0.010509
5-15,0.002257
85-95,0.000481
65-85,0.002653
50,0.003776
15-35,0.001608
5-15,0.00034
85-95,0.001124
65-85,0.009216
50,0.025874
85-95,0.003276
65-85,0.007046
50,0.01484
15-35,0.001846
5-15,0.000901
85-95,0.002376
65-85,0.007068
50,0.031585
15-35,0.022672
85-95,0.001062
65-85,0.005049
50,0.026742
85-95,0.000727
65-85,0.035794
85-95,0.002725
65-85,0.007321
50,0.021235
15-35,0.004872
5-15,0.000893
85-95,0.033155
85-95,0.03119
