interaction_type,demixing
C-H,0.073931
C-H,0.004974
C-H,0.07438
C-H,0.338554
C-H,0.49463
C-H,0.186406
C-H,0.01191
C-H,0.002398
C-H,0.00956
C-H,0.01041
C-H,0.001034
C-H,0.000352
C-H,0.003499
C-H,0.009451
C-H,0.022048
C-H,0.003346
C-H,0.000703
C-H,0.011186
C-H,0.041478
C-H,0.102482
C-H,0.017338
C-H,0.001461
C-H,0.001592
C-H,0.004975
C-H,0.010802
C-H,0.00224
C-H,0.001862
C-H,0.016833
C-H,0.132972
C-H,0.088134
C-H,0.01351
C-H,0.000596
C-H,0.000405
C-H,0.00156
C-H,0.001194
C-H,0.000235
C-H,0.00532
C-H,0.038799
C-H,0.031142
C-H,0.015758
C-H,0.001824
H-H,0.031419
H-H,0.138375
H-H,0.056687
H-H,0.009469
H-H,0.000601
H-H,0.007097
H-H,0.016637
H-H,0.005166
H-H,0.001344
H-H,0.000398
H-H,0.004766
H-H,0.002271
H-H,0.000804
H-H,0.005255
H-H,0.023754
C-H,0.0032
C-H,0.008067
C-H,0.014605
C-H,0.004786
C-H,0.000258
C-H,0.001474
C-H,0.006648
C-H,0.012687
C-H,0.003329
C-H,0.000611
C-H,0.00287
C-H,0.018675
C-H,0.039637
C-H,0.015888
C-H,0.001501
H-P,0.00066
H-P,0.005145
H-P,0.023886
H-P,0.02359
C-H,0.001835
C-H,0.059769
C-H,0.001482
C-H,0.014462
H-H,0.028574
C-H,0.008693
C-H,0.04221
C-H,0.058463
C-H,0.012162
C-H,0.002464
C-H,0.005579
C-H,0.022284
C-H,0.059599
C-H,0.015372
C-H,0.001415
C-H,0.012804
C-H,0.05918
C-H,0.076622
C-H,0.026645
C-H,0.001252
C-H,0.006989
C-H,0.020491
C-H,0.036761
C-H,0.00514
C-H,0.002283
C-H,0.015296
C-H,0.049263
C-H,0.008762
C-H,0.013771
C-H,0.125464
C-H,0.25948
C-H,0.069404
C-H,0.00903
C-H,0.007181
C-H,0.048961
C-H,0.038026
C-H,0.010514
C-H,0.000567
C-H,0.00847
C-H,0.02817
C-H,0.029993
C-H,0.009108
C-H,0.000773
C-H,0.006212
C-H,0.055633
C-H,0.074938
C-H,0.017158
C-H,0.004046
C-H,0.00325
C-H,0.0189
C-H,0.023681
C-H,0.007944
C-H,0.000871
C-H,0.129841
C-H,0.145581
C-H,0.03316
C-H,0.000612
C-H,0.006788
C-H,0.018944
C-H,0.004185
C-H,0.00063
C-H,0.006338
C-H,0.0123
C-H,0.041162
C-H,0.024036
C-H,0.004412
H-H,0.011536
H-H,0.118644
H-H,0.337649
H-H,0.104032
H-H,0.004317
H-H,0.017523
H-H,0.053019
H-H,0.018925
H-H,0.004498
