raw_score,predicted,observed
-5.350499843990707,0.004723362227952452,0.012968
-2.38147181249948,0.08459651894025504,0.032305
-3.577423354303912,0.02718778293209987,0.037792
-6.270561338817471,0.0018875969394459412,0.007903
-4.897191088488999,0.007412178607374232,0.039421
2.3101334875546113,0.9097128199511209,0.923473
2.1238115139735925,0.8931960812119519,0.912023
-5.811481185371942,0.0029840623296904082,0.012217
1.2082262532825299,0.7699849545420092,0.732249
-1.3792565297184636,0.20112843087841417,0.089014
-3.8607143883074078,0.020618866121871686,0.007539
-6.370644761214777,0.0017081329370051829,0.0127
-7.581322284213171,0.0005096267103031231,0.046167
-5.163121537800131,0.0056912292130159815,0.048642
1.0742195719293348,0.7453985331979837,0.905874
-6.856726807368243,0.0010512465727086997,0.011081
-7.256222158297356,0.0007052715312110336,0.011279
-5.966904650441858,0.0025556120511957647,0.056293
-3.9588883546424305,0.01872692687885174,0.012112
-1.4075236190439167,0.19662494049023277,0.059098
-0.7640941605199731,0.3177580403906588,0.276107
-2.328479854923371,0.08879157773832279,0.030352
-7.023437849971361,0.0008899651872853965,0.024709
-1.347839749414708,0.20622377074412654,0.142156
-2.0860450059338245,0.11046059002177101,0.39167
-5.197898433070055,0.005497777392563839,0.047063
-7.3833604986369075,0.0006211227600212042,0.012206
-6.890056072118039,0.001016821787074764,0.089053
-2.3174424847691286,0.08968864762495897,0.066045
-4.027979952168232,0.01749861613990928,0.037442
-4.3879795851347865,0.012273303439149936,0.254564
-2.3115978628728637,0.09016697513002433,0.068502
-3.955827672650075,0.018783253598939925,0.032147
-5.548311078566678,0.003878923761565738,0.01201
-6.046291044896917,0.0023610357660585253,0.041148
-1.8335330072150229,0.1378179291702771,0.071551
-4.675884596316282,0.00923126914572739,0.014482
-0.6327502793649995,0.34688718213251024,0.096013
-0.1810944566690771,0.45484971117826584,0.44455
-2.895335999973879,0.05238460341325119,0.063553
-4.637229001364432,0.009591606331616839,0.01141
-5.911950985623152,0.002699593078021516,0.043332
-5.66812214077407,0.0034424545357931726,0.083081
-1.5965083928231587,0.16847018101257202,0.362738
-5.263532241066013,0.005150322872579379,0.023978
-5.325410596197574,0.004842785795381216,0.015032
0.5996491015978926,0.6455760220988486,0.97084
-2.7106894806736,0.0623455331627902,0.015253
-4.896151546240459,0.007419830685010538,0.045036
-6.098381373663125,0.00224146556923816,0.086587
-6.406933654980373,0.0016473581893552552,0.040289
0.1543450850872472,0.5385098518333928,0.602089
-3.2118631420235886,0.03872172429844216,0.013858
-0.7666111507922082,0.31721263790010357,0.207179
-0.4376309523424706,0.392305610437195,0.390907
-6.947179252069156,0.0009604197463181353,0.005937
