average_dG,dGij,slope,r_squared
-5.629356,-6.138002,0.8410924415024891,0.5639181114394239
-5.629356,-6.274837,0.8410924415024891,0.5639181114394239
-5.629356,-6.432853,0.8410924415024891,0.5639181114394239
-5.629356,-6.425974,0.8410924415024891,0.5639181114394239
-5.629356,-5.286814,0.8410924415024891,0.5639181114394239
-6.187051,-6.278944,0.8410924415024891,0.5639181114394239
-6.187051,-6.278397,0.8410924415024891,0.5639181114394239
-6.187051,-6.275934,0.8410924415024891,0.5639181114394239
-6.187051,-6.426526,0.8410924415024891,0.5639181114394239
-6.187051,-6.61599,0.8410924415024891,0.5639181114394239
-5.7359995,-6.142659,0.8410924415024891,0.5639181114394239
-5.7359995,-6.022404,0.8410924415024891,0.5639181114394239
-5.7359995,-6.142659,0.8410924415024891,0.5639181114394239
-5.7359995,-5.912768,0.8410924415024891,0.5639181114394239
-5.7359995,-6.022131,0.8410924415024891,0.5639181114394239
-5.2470795,-5.913316,0.8410924415024891,0.5639181114394239
-5.2470795,-5.435672,0.8410924415024891,0.5639181114394239
-5.2470795,-4.894015,0.8410924415024891,0.5639181114394239
-5.2470795,-4.571644,0.8410924415024891,0.5639181114394239
-5.2470795,-4.38367,0.8410924415024891,0.5639181114394239
-4.695016,-4.804429,0.8410924415024891,0.5639181114394239
-4.695016,-4.263705,0.8410924415024891,0.5639181114394239
-4.695016,-3.56774,0.8410924415024891,0.5639181114394239
-5.1470345,-5.810978,0.8410924415024891,0.5639181114394239
-5.1470345,-5.080645,0.8410924415024891,0.5639181114394239
-5.1470345,-5.521448,0.8410924415024891,0.5639181114394239
-5.312143,-6.275385,0.8410924415024891,0.5639181114394239
-5.312143,-5.495729,0.8410924415024891,0.5639181114394239
-5.259971,-5.61868,0.8410924415024891,0.5639181114394239
-5.259971,-5.493789,0.8410924415024891,0.5639181114394239
-5.259971,-5.024604,0.8410924415024891,0.5639181114394239
-5.259971,-4.654956,0.8410924415024891,0.5639181114394239
-5.259971,-4.561932,0.8410924415024891,0.5639181114394239
-4.3257585,-5.1066,0.8410924415024891,0.5639181114394239
-4.3257585,-3.348598,0.8410924415024891,0.5639181114394239
-7.1492425,-6.604918,0.8410924415024891,0.5639181114394239
-7.1492425,-7.575797,0.8410924415024891,0.5639181114394239
-7.1492425,-6.429007,0.8410924415024891,0.5639181114394239
-7.1492425,-6.612958,0.8410924415024891,0.5639181114394239
-7.1492425,-7.580737,0.8410924415024891,0.5639181114394239
-5.818516,-6.01994,0.8410924415024891,0.5639181114394239
-5.818516,-6.265465,0.8410924415024891,0.5639181114394239
-5.818516,-6.42625,0.8410924415024891,0.5639181114394239
-5.818516,-6.850562,0.8410924415024891,0.5639181114394239
-5.818516,-6.442133,0.8410924415024891,0.5639181114394239
